name,tm,bw,adp,val,ps,pos
Cam Newton,CAR,7,4.5,4.1,0.75,QB
Aaron Rodgers,GB,4,4.9,3.5,0.54,QB
Russell Wilson,SEA,5,5.8,3.0,0.36,QB
Andrew Luck,IND,10,6.2,2.0,0.24,QB
Drew Brees,NO,5,6.7,1.7,0.14,QB
Ben Roethlisberger,PIT,8,7.7,0.7,0.09,QB
Blake Bortles,JAX,5,10.3,0.6,0.06,QB
Eli Manning,NYG,8,9.5,0.4,0.03,QB
Carson Palmer,ARI,9,8.4,0.4,0.01,QB
Philip Rivers,SD,11,10.1,0.1,0.00,QB
Tyrod Taylor,BUF,10,12.5,-0.2,0.00,QB
Jameis Winston,TB,6,13.2,-0.2,0.00,QB
Matthew Stafford,DET,10,13.5,-0.3,0.00,QB
Andy Dalton,CIN,9,13.6,-0.4,0.00,QB
Kirk Cousins,WAS,9,12.8,-0.5,0.00,QB
Derek Carr,OAK,10,12.4,-0.5,0.00,QB
Marcus Mariota,TEN,13,13.9,-0.6,0.00,QB
Matt Ryan,ATL,11,14.4,-0.8,0.00,QB
Ryan Tannehill,MIA,8,15.1,-0.8,0.00,QB
Ryan Fitzpatrick,NYJ,11,15.4,-0.9,0.00,QB
Tony Romo,DAL,7,12.9,-0.9,0.00,QB
Alex Smith,KC,5,18.4,-1.1,0.00,QB
Tom Brady,NE,9,10.5,-1.4,0.00,QB
Jay Cutler,CHI,9,17.2,-1.7,0.00,QB
Joe Flacco,BAL,8,17.3,-1.8,0.00,QB
Brock Osweiler,HOU,9,19.5,-2.3,0.00,QB
Teddy Bridgewater,MIN,6,20.6,-3.1,0.00,QB
Robert Griffin,CLE,13,20.2,-3.5,0.00,QB
Blaine Gabbert,SF,8,23.3,-5.1,0.00,QB
Sam Bradford,PHI,4,,-5.7,0.00,QB
Jared Goff,LA,8,,-6.4,0.00,QB
Mark Sanchez,DEN,11,,-6.8,0.00,QB
Todd Gurley (1),LA,8,1.6,6.8,0.93,RB
David Johnson (1),ARI,9,1.5,6.8,0.87,RB
Jamaal Charles (1),KC,5,2.8,5.9,0.81,RB
Adrian Peterson (1),MIN,6,1.10,5.9,0.75,RB
Lamar Miller (1),HOU,9,2.1,5.8,0.70,RB
Devonta Freeman (1),ATL,11,2.10,5.5,0.64,RB
Ezekiel Elliott (1),DAL,7,2.1,5.5,0.59,RB
LeVeon Bell (1),PIT,8,2.10,4.9,0.54,RB
Mark Ingram (1),NO,5,3.1,4.6,0.49,RB
LeSean McCoy (1),BUF,10,3.5,4.5,0.45,RB
Doug Martin (1),TB,6,3.6,4.1,0.41,RB
Eddie Lacy (1),GB,4,3.7,3.8,0.37,RB
CJ Anderson (1),DEN,11,4.1,3.1,0.34,RB
Thomas Rawls (1),SEA,5,5.3,2.9,0.31,RB
Matt Forte (1),NYJ,11,5.3,2.9,0.28,RB
Latavius Murray (1),OAK,10,5.3,2.7,0.26,RB
Carlos Hyde (1),SF,8,4.9,2.6,0.23,RB
DeMarco Murray (1),TEN,13,6.7,2.3,0.21,RB
Ryan Mathews (1),PHI,4,6.9,1.9,0.19,RB
Giovani Bernard (2),CIN,9,7.5,1.9,0.17,RB
Matt Jones (1),WAS,9,7.4,1.9,0.15,RB
Dion Lewis (1),NE,9,5.9,1.8,0.14,RB
Jeremy Langford (1),CHI,9,8.8,1.7,0.12,RB
Duke Johnson (2),CLE,13,7.5,1.7,0.10,RB
Jeremy Hill (1),CIN,9,7.1,1.7,0.09,RB
Jonathan Stewart (1),CAR,7,7.1,1.7,0.07,RB
Frank Gore (1),IND,10,7.4,1.5,0.06,RB
Danny Woodhead (2),SD,11,7.8,1.4,0.04,RB
Melvin Gordon (1),SD,11,8.7,1.3,0.03,RB
Arian Foster (2),MIA,8,9.2,1.0,0.02,RB
Ameer Abdullah (1),DET,10,9.4,0.9,0.01,RB
Rashad Jennings (1),NYG,8,9.4,0.8,0.00,RB
TJ Yeldon (1),JAX,5,10.1,0.3,0.00,RB
Charles Sims (2),TB,6,10.7,0.0,0.00,RB
Justin Forsett (1),BAL,8,11.5,-0.1,0.00,RB
Isaiah Crowell (1),CLE,13,12.3,-0.4,0.00,RB
DeAngelo Williams (2),PIT,8,10.6,-0.4,0.00,RB
Theo Riddick (2),DET,10,12.4,-0.6,0.00,RB
Chris Ivory (2),JAX,5,10.2,-0.6,0.00,RB
LeGarrette Blount (2),NE,9,14.1,-1.1,0.00,RB
Darren Sproles (2),PHI,4,15.4,-1.2,0.00,RB
Bilal Powell (2),NYJ,11,12.3,-1.2,0.00,RB
Shane Vereen (2),NYG,8,15.2,-1.4,0.00,RB
Jay Ajayi (1),MIA,8,11.2,-1.7,0.00,RB
Derrick Henry (2),TEN,13,13.1,-2.1,0.00,RB
Tevin Coleman (2),ATL,11,13.2,-2.5,0.00,RB
